stazione_id;data;inquinante;valore
"2";2024-12-24;C6H6;0.5
"2";2024-12-24;NO2;52
"2";2024-12-24;O3;76
"2";2024-12-24;PM10;6
"2";2024-12-24;PM25;3
"2";2024-12-24;SO2;5
"3";2024-12-24;NO2;78
"4";2024-12-24;C6H6;0.5
"4";2024-12-24;CO_8h;0.9
"4";2024-12-24;NO2;59
"4";2024-12-24;PM10;13
"4";2024-12-24;PM25;8
"6";2024-12-24;C6H6;0.5
"6";2024-12-24;CO_8h;0.7
"6";2024-12-24;NO2;93
"6";2024-12-24;PM10;12
"6";2024-12-24;PM25;6
"7";2024-12-24;NO2;89
"7";2024-12-24;O3;61
"7";2024-12-24;PM10;14
"2";2024-12-23;C6H6;2.4
"2";2024-12-23;NO2;48
"2";2024-12-23;O3;5
"2";2024-12-23;PM10;39
"2";2024-12-23;PM25;29
"2";2024-12-23;SO2;6
"3";2024-12-23;NO2;66
"4";2024-12-23;C6H6;2.7
"4";2024-12-23;CO_8h;1.4
"4";2024-12-23;NO2;61
"4";2024-12-23;PM10;51
"4";2024-12-23;PM25;37
"6";2024-12-23;C6H6;3.3
"6";2024-12-23;CO_8h;1
"6";2024-12-23;NO2;91
"6";2024-12-23;PM10;40
"6";2024-12-23;PM25;28
"7";2024-12-23;NO2;79
"7";2024-12-23;O3;4
"7";2024-12-23;PM10;44
"2";2024-12-20;C6H6;2.4
"2";2024-12-20;NO2;26
"2";2024-12-20;O3;5
"2";2024-12-20;PM10;31
"2";2024-12-20;PM25;21
"2";2024-12-20;SO2;6
"3";2024-12-20;NO2;51
"4";2024-12-20;C6H6;2.8
"4";2024-12-20;CO_8h;1.6
"4";2024-12-20;NO2;44
"4";2024-12-20;PM10;46
"4";2024-12-20;PM25;40
"6";2024-12-20;C6H6;3.3
"6";2024-12-20;CO_8h;1.1
"6";2024-12-20;NO2;54
"6";2024-12-20;PM10;30
"6";2024-12-20;PM25;24
"7";2024-12-20;NO2;50
"7";2024-12-20;O3;3
"7";2024-12-20;PM10;37
"2";2024-12-19;C6H6;3.4
"2";2024-12-19;NO2;38
"2";2024-12-19;O3;5
"2";2024-12-19;PM10;53
"2";2024-12-19;PM25;35
"2";2024-12-19;SO2;7
"3";2024-12-19;NO2;58
"4";2024-12-19;C6H6;3.1
"4";2024-12-19;CO_8h;1.6
"4";2024-12-19;NO2;52
"4";2024-12-19;PM10;61
"4";2024-12-19;PM25;47
"6";2024-12-19;C6H6;4.7
"6";2024-12-19;CO_8h;1.2
"6";2024-12-19;NO2;58
"6";2024-12-19;PM10;53
"6";2024-12-19;PM25;40
"7";2024-12-19;NO2;61
"7";2024-12-19;O3;2
"7";2024-12-19;PM10;53
"2";2024-12-18;C6H6;4.7
"2";2024-12-18;NO2;102
"2";2024-12-18;O3;35
"2";2024-12-18;PM10;64
"2";2024-12-18;PM25;41
"2";2024-12-18;SO2;11
"3";2024-12-18;NO2;147
"4";2024-12-18;C6H6;3.8
"4";2024-12-18;CO_8h;3.7
"4";2024-12-18;NO2;74
"4";2024-12-18;PM10;70
"4";2024-12-18;PM25;45
"6";2024-12-18;C6H6;6.4
"6";2024-12-18;CO_8h;2
"6";2024-12-18;NO2;107
"6";2024-12-18;PM10;
"6";2024-12-18;PM25;
"7";2024-12-18;NO2;121
"7";2024-12-18;O3;23
"7";2024-12-18;PM10;64
"2";2024-12-17;C6H6;4.4
"2";2024-12-17;NO2;82
"2";2024-12-17;O3;5
"2";2024-12-17;PM10;66
"2";2024-12-17;PM25;40
"2";2024-12-17;SO2;9
"3";2024-12-17;NO2;110
"4";2024-12-17;C6H6;4.5
"4";2024-12-17;CO_8h;3.7
"4";2024-12-17;NO2;97
"4";2024-12-17;PM10;82
"4";2024-12-17;PM25;54
"6";2024-12-17;C6H6;6.3
"6";2024-12-17;CO_8h;1.9
"6";2024-12-17;NO2;103
"6";2024-12-17;PM10;56
"6";2024-12-17;PM25;60
"7";2024-12-17;NO2;93
"7";2024-12-17;O3;3
"7";2024-12-17;PM10;61
"2";2024-12-16;C6H6;2.5
"2";2024-12-16;NO2;20
"2";2024-12-16;O3;11
"2";2024-12-16;PM10;39
"2";2024-12-16;PM25;29
"2";2024-12-16;SO2;6
"3";2024-12-16;NO2;48
"4";2024-12-16;C6H6;2.3
"4";2024-12-16;CO_8h;1.2
"4";2024-12-16;NO2;43
"4";2024-12-16;PM10;48
"4";2024-12-16;PM25;42
"6";2024-12-16;C6H6;3.2
"6";2024-12-16;CO_8h;1.1
"6";2024-12-16;NO2;57
"6";2024-12-16;PM10;41
"6";2024-12-16;PM25;35
"7";2024-12-16;NO2;56
"7";2024-12-16;O3;5
"7";2024-12-16;PM10;43
"2";2024-12-13;C6H6;2.4
"2";2024-12-13;NO2;37
"2";2024-12-13;O3;16
"2";2024-12-13;PM10;45
"2";2024-12-13;PM25;27
"2";2024-12-13;SO2;7
"3";2024-12-13;NO2;84
"4";2024-12-13;C6H6;3.2
"4";2024-12-13;CO_8h;2.1
"4";2024-12-13;NO2;64
"4";2024-12-13;PM10;64
"4";2024-12-13;PM25;45
"6";2024-12-13;C6H6;3.7
"6";2024-12-13;CO_8h;1.1
"6";2024-12-13;NO2;58
"6";2024-12-13;PM10;46
"6";2024-12-13;PM25;24
"7";2024-12-13;NO2;60
"7";2024-12-13;O3;8
"7";2024-12-13;PM10;47
"2";2024-12-12;C6H6;2.7
"2";2024-12-12;NO2;43
"2";2024-12-12;O3;38
"2";2024-12-12;PM10;38
"2";2024-12-12;PM25;26
"2";2024-12-12;SO2;7
"3";2024-12-12;NO2;75
"4";2024-12-12;C6H6;4.4
"4";2024-12-12;CO_8h;1.9
"4";2024-12-12;NO2;92
"4";2024-12-12;PM10;49
"4";2024-12-12;PM25;29
"6";2024-12-12;C6H6;3.7
"6";2024-12-12;CO_8h;1
"6";2024-12-12;NO2;76
"6";2024-12-12;PM10;37
"6";2024-12-12;PM25;24
"7";2024-12-12;NO2;82
"7";2024-12-12;O3;27
"7";2024-12-12;PM10;34
"2";2024-12-11;C6H6;2.3
"2";2024-12-11;NO2;40
"2";2024-12-11;O3;19
"2";2024-12-11;PM10;41
"2";2024-12-11;PM25;29
"2";2024-12-11;SO2;6
"3";2024-12-11;NO2;65
"4";2024-12-11;C6H6;3.1
"4";2024-12-11;CO_8h;1.3
"4";2024-12-11;NO2;80
"4";2024-12-11;PM10;50
"4";2024-12-11;PM25;36
"6";2024-12-11;C6H6;3.3
"6";2024-12-11;CO_8h;0.9
"6";2024-12-11;NO2;71
"6";2024-12-11;PM10;42
"6";2024-12-11;PM25;27
"7";2024-12-11;NO2;71
"7";2024-12-11;O3;12
"7";2024-12-11;PM10;40
"2";2024-12-10;C6H6;1.1
"2";2024-12-10;NO2;38
"2";2024-12-10;O3;36
"2";2024-12-10;PM10;22
"2";2024-12-10;PM25;14
"2";2024-12-10;SO2;5
"3";2024-12-10;NO2;62
"4";2024-12-10;C6H6;1.7
"4";2024-12-10;CO_8h;1
"4";2024-12-10;NO2;70
"4";2024-12-10;PM10;27
"4";2024-12-10;PM25;18
"6";2024-12-10;C6H6;1.5
"6";2024-12-10;CO_8h;0.5
"6";2024-12-10;NO2;61
"6";2024-12-10;PM10;21
"6";2024-12-10;PM25;
"7";2024-12-10;NO2;59
"7";2024-12-10;O3;40
"7";2024-12-10;PM10;19
"2";2024-12-09;C6H6;1.5
"2";2024-12-09;NO2;28
"2";2024-12-09;O3;24
"2";2024-12-09;PM10;34
"2";2024-12-09;PM25;26
"2";2024-12-09;SO2;5
"3";2024-12-09;NO2;53
"4";2024-12-09;C6H6;2
"4";2024-12-09;CO_8h;0.9
"4";2024-12-09;NO2;53
"4";2024-12-09;PM10;42
"4";2024-12-09;PM25;35
"6";2024-12-09;C6H6;1.8
"6";2024-12-09;CO_8h;0.6
"6";2024-12-09;NO2;51
"6";2024-12-09;PM10;30
"6";2024-12-09;PM25;22
"7";2024-12-09;NO2;51
"7";2024-12-09;O3;26
"7";2024-12-09;PM10;36
"2";2024-12-06;C6H6;2.9
"2";2024-12-06;NO2;72
"2";2024-12-06;O3;34
"2";2024-12-06;PM10;42
"2";2024-12-06;PM25;26
"2";2024-12-06;SO2;7
"3";2024-12-06;NO2;90
"4";2024-12-06;C6H6;4.8
"4";2024-12-06;CO_8h;2.2
"4";2024-12-06;NO2;81
"4";2024-12-06;PM10;59
"4";2024-12-06;PM25;37
"6";2024-12-06;C6H6;3.3
"6";2024-12-06;CO_8h;1
"6";2024-12-06;NO2;67
"6";2024-12-06;PM10;37
"6";2024-12-06;PM25;17
"7";2024-12-06;NO2;76
"7";2024-12-06;O3;22
"7";2024-12-06;PM10;42
"2";2024-12-05;C6H6;3.1
"2";2024-12-05;NO2;81
"2";2024-12-05;O3;43
"2";2024-12-05;PM10;50
"2";2024-12-05;PM25;32
"2";2024-12-05;SO2;8
"3";2024-12-05;NO2;97
"4";2024-12-05;C6H6;4.8
"4";2024-12-05;CO_8h;2
"4";2024-12-05;NO2;95
"4";2024-12-05;PM10;65
"4";2024-12-05;PM25;43
"6";2024-12-05;C6H6;4.1
"6";2024-12-05;CO_8h;1.1
"6";2024-12-05;NO2;88
"6";2024-12-05;PM10;46
"6";2024-12-05;PM25;24
"7";2024-12-05;NO2;115
"7";2024-12-05;O3;34
"7";2024-12-05;PM10;54
"2";2024-12-04;C6H6;3.4
"2";2024-12-04;NO2;
"2";2024-12-04;O3;21
"2";2024-12-04;PM10;59
"2";2024-12-04;PM25;43
"2";2024-12-04;SO2;8
"3";2024-12-04;NO2;90
"4";2024-12-04;C6H6;5.7
"4";2024-12-04;CO_8h;2.3
"4";2024-12-04;NO2;103
"4";2024-12-04;PM10;77
"4";2024-12-04;PM25;52
"6";2024-12-04;C6H6;5
"6";2024-12-04;CO_8h;1.5
"6";2024-12-04;NO2;102
"6";2024-12-04;PM10;61
"6";2024-12-04;PM25;44
"7";2024-12-04;NO2;99
"7";2024-12-04;O3;15
"7";2024-12-04;PM10;63
"2";2024-12-03;C6H6;3.9
"2";2024-12-03;NO2;
"2";2024-12-03;O3;15
"2";2024-12-03;PM10;55
"2";2024-12-03;PM25;37
"2";2024-12-03;SO2;8
"3";2024-12-03;NO2;103
"4";2024-12-03;C6H6;5.9
"4";2024-12-03;CO_8h;2.2
"4";2024-12-03;NO2;94
"4";2024-12-03;PM10;70
"4";2024-12-03;PM25;50
"6";2024-12-03;C6H6;4.5
"6";2024-12-03;CO_8h;1.6
"6";2024-12-03;NO2;80
"6";2024-12-03;PM10;54
"6";2024-12-03;PM25;31
"7";2024-12-03;NO2;85
"7";2024-12-03;O3;6
"7";2024-12-03;PM10;54
"2";2024-12-02;C6H6;2.5
"2";2024-12-02;NO2;43
"2";2024-12-02;O3;16
"2";2024-12-02;PM10;42
"2";2024-12-02;PM25;27
"2";2024-12-02;SO2;6
"3";2024-12-02;NO2;64
"4";2024-12-02;C6H6;3.2
"4";2024-12-02;CO_8h;1.3
"4";2024-12-02;NO2;61
"4";2024-12-02;PM10;48
"4";2024-12-02;PM25;35
"6";2024-12-02;C6H6;2.9
"6";2024-12-02;CO_8h;1.6
"6";2024-12-02;NO2;50
"6";2024-12-02;PM10;38
"6";2024-12-02;PM25;31
"7";2024-12-02;NO2;54
"7";2024-12-02;O3;9
"7";2024-12-02;PM10;41
"2";2024-11-28;C6H6;2.2
"2";2024-11-28;NO2;40
"2";2024-11-28;O3;9
"2";2024-11-28;PM10;43
"2";2024-11-28;PM25;29
"2";2024-11-28;SO2;5
"3";2024-11-28;NO2;44
"4";2024-11-28;C6H6;2.7
"4";2024-11-28;CO_8h;1.8
"4";2024-11-28;NO2;45
"4";2024-11-28;PM10;
"4";2024-11-28;PM25;39
"6";2024-11-28;C6H6;3
"6";2024-11-28;CO_8h;0.8
"6";2024-11-28;NO2;44
"6";2024-11-28;PM10;45
"6";2024-11-28;PM25;32
"7";2024-11-28;NO2;44
"7";2024-11-28;O3;7
"7";2024-11-28;PM10;42
"2";2024-11-27;C6H6;2
"2";2024-11-27;NO2;44
"2";2024-11-27;O3;3
"2";2024-11-27;PM10;27
"2";2024-11-27;PM25;20
"2";2024-11-27;SO2;5
"3";2024-11-27;NO2;42
"4";2024-11-27;C6H6;2.7
"4";2024-11-27;CO_8h;1.8
"4";2024-11-27;NO2;53
"4";2024-11-27;PM10;
"4";2024-11-27;PM25;28
"6";2024-11-27;C6H6;2.8
"6";2024-11-27;CO_8h;0.7
"6";2024-11-27;NO2;51
"6";2024-11-27;PM10;27
"6";2024-11-27;PM25;15
"7";2024-11-27;NO2;52
"7";2024-11-27;O3;3
"7";2024-11-27;PM10;26
"2";2024-11-26;C6H6;1.5
"2";2024-11-26;NO2;52
"2";2024-11-26;O3;30
"2";2024-11-26;PM10;29
"2";2024-11-26;PM25;19
"2";2024-11-26;SO2;8
"3";2024-11-26;NO2;43
"4";2024-11-26;C6H6;1.7
"4";2024-11-26;CO_8h;1.4
"4";2024-11-26;NO2;50
"4";2024-11-26;PM10;32
"4";2024-11-26;PM25;22
"6";2024-11-26;C6H6;1.9
"6";2024-11-26;CO_8h;0.7
"6";2024-11-26;NO2;52
"6";2024-11-26;PM10;30
"6";2024-11-26;PM25;14
"7";2024-11-26;NO2;51
"7";2024-11-26;O3;27
"7";2024-11-26;PM10;29
"2";2024-11-25;C6H6;1.4
"2";2024-11-25;NO2;65
"2";2024-11-25;O3;41
"2";2024-11-25;PM10;22
"2";2024-11-25;PM25;16
"2";2024-11-25;SO2;8
"3";2024-11-25;NO2;68
"4";2024-11-25;C6H6;0
"4";2024-11-25;CO_8h;1.6
"4";2024-11-25;NO2;62
"4";2024-11-25;PM10;28
"4";2024-11-25;PM25;18
"6";2024-11-25;C6H6;1.7
"6";2024-11-25;CO_8h;0.9
"6";2024-11-25;NO2;62
"6";2024-11-25;PM10;23
"6";2024-11-25;PM25;12
"7";2024-11-25;NO2;67
"7";2024-11-25;O3;33
"7";2024-11-25;PM10;24
"2";2024-11-22;C6H6;1
"2";2024-11-22;NO2;68
"2";2024-11-22;O3;43
"2";2024-11-22;PM10;15
"2";2024-11-22;PM25;6
"2";2024-11-22;SO2;6
"3";2024-11-22;NO2;72
"4";2024-11-22;C6H6;0
"4";2024-11-22;CO_8h;1.4
"4";2024-11-22;NO2;88
"4";2024-11-22;PM10;22
"4";2024-11-22;PM25;8
"6";2024-11-22;C6H6;1.4
"6";2024-11-22;CO_8h;0.5
"6";2024-11-22;NO2;80
"6";2024-11-22;PM10;16
"6";2024-11-22;PM25;5
"7";2024-11-22;NO2;86
"7";2024-11-22;O3;36
"7";2024-11-22;PM10;18
"2";2024-11-21;C6H6;1.7
"2";2024-11-21;NO2;69
"2";2024-11-21;O3;66
"2";2024-11-21;PM10;31
"2";2024-11-21;PM25;21
"2";2024-11-21;SO2;6
"3";2024-11-21;NO2;85
"4";2024-11-21;C6H6;0
"4";2024-11-21;CO_8h;1.8
"4";2024-11-21;NO2;83
"4";2024-11-21;PM10;45
"4";2024-11-21;PM25;45
"6";2024-11-21;C6H6;2.6
"6";2024-11-21;CO_8h;1.1
"6";2024-11-21;NO2;71
"6";2024-11-21;PM10;36
"6";2024-11-21;PM25;19
"7";2024-11-21;NO2;70
"7";2024-11-21;O3;52
"7";2024-11-21;PM10;40
"2";2024-11-20;C6H6;3.5
"2";2024-11-20;NO2;46
"2";2024-11-20;O3;4
"2";2024-11-20;PM10;72
"2";2024-11-20;PM25;49
"2";2024-11-20;SO2;6
"3";2024-11-20;NO2;78
"4";2024-11-20;C6H6;2.2
"4";2024-11-20;CO_8h;2.1
"4";2024-11-20;NO2;59
"4";2024-11-20;PM10;97
"4";2024-11-20;PM25;67
"6";2024-11-20;C6H6;4.9
"6";2024-11-20;CO_8h;1.2
"6";2024-11-20;NO2;57
"6";2024-11-20;PM10;75
"6";2024-11-20;PM25;47
"7";2024-11-20;NO2;65
"7";2024-11-20;O3;2
"7";2024-11-20;PM10;81
"2";2024-11-19;C6H6;2.2
"2";2024-11-19;NO2;51
"2";2024-11-19;O3;13
"2";2024-11-19;PM10;79
"2";2024-11-19;PM25;51
"2";2024-11-19;SO2;6
"3";2024-11-19;NO2;65
"4";2024-11-19;C6H6;1.4
"4";2024-11-19;CO_8h;2
"4";2024-11-19;NO2;71
"4";2024-11-19;PM10;90
"4";2024-11-19;PM25;65
"6";2024-11-19;C6H6;3.2
"6";2024-11-19;CO_8h;1
"6";2024-11-19;NO2;67
"6";2024-11-19;PM10;71
"6";2024-11-19;PM25;
"7";2024-11-19;NO2;70
"7";2024-11-19;O3;10
"7";2024-11-19;PM10;83
"2";2024-11-18;C6H6;2.3
"2";2024-11-18;NO2;52
"2";2024-11-18;O3;33
"2";2024-11-18;PM10;53
"2";2024-11-18;PM25;37
"2";2024-11-18;SO2;5
"3";2024-11-18;NO2;58
"4";2024-11-18;C6H6;1.3
"4";2024-11-18;CO_8h;1.6
"4";2024-11-18;NO2;65
"4";2024-11-18;PM10;61
"4";2024-11-18;PM25;47
"6";2024-11-18;C6H6;3
"6";2024-11-18;CO_8h;0.9
"6";2024-11-18;NO2;59
"6";2024-11-18;PM10;44
"6";2024-11-18;PM25;42
"7";2024-11-18;NO2;62
"7";2024-11-18;O3;27
"7";2024-11-18;PM10;60
"2";2024-11-15;C6H6;2.1
"2";2024-11-15;NO2;59
"2";2024-11-15;O3;52
"2";2024-11-15;PM10;42
"2";2024-11-15;PM25;25
"2";2024-11-15;SO2;6
"3";2024-11-15;NO2;81
"4";2024-11-15;C6H6;1.5
"4";2024-11-15;CO_8h;2.2
"4";2024-11-15;NO2;81
"4";2024-11-15;PM10;57
"4";2024-11-15;PM25;33
"6";2024-11-15;C6H6;2.7
"6";2024-11-15;CO_8h;0.7
"6";2024-11-15;NO2;70
"6";2024-11-15;PM10;34
"6";2024-11-15;PM25;28
"7";2024-11-15;NO2;74
"7";2024-11-15;O3;49
"7";2024-11-15;PM10;39
"2";2024-11-13;C6H6;1.8
"2";2024-11-13;NO2;67
"2";2024-11-13;O3;54
"2";2024-11-13;PM10;36
"2";2024-11-13;PM25;23
"2";2024-11-13;SO2;6
"3";2024-11-13;NO2;82
"4";2024-11-13;C6H6;1.4
"4";2024-11-13;CO_8h;2
"4";2024-11-13;NO2;82
"4";2024-11-13;PM10;50
"4";2024-11-13;PM25;28
"6";2024-11-13;C6H6;2.8
"6";2024-11-13;CO_8h;0.8
"6";2024-11-13;NO2;74
"6";2024-11-13;PM10;
"6";2024-11-13;PM25;
"7";2024-11-13;NO2;77
"7";2024-11-13;O3;42
"7";2024-11-13;PM10;36
"2";2024-11-12;C6H6;3.1
"2";2024-11-12;NO2;68
"2";2024-11-12;O3;52
"2";2024-11-12;PM10;48
"2";2024-11-12;PM25;31
"2";2024-11-12;SO2;8
"3";2024-11-12;NO2;87
"4";2024-11-12;C6H6;2.2
"4";2024-11-12;CO_8h;2.5
"4";2024-11-12;NO2;85
"4";2024-11-12;PM10;59
"4";2024-11-12;PM25;38
"6";2024-11-12;C6H6;3.8
"6";2024-11-12;CO_8h;1.3
"6";2024-11-12;NO2;81
"6";2024-11-12;PM10;
"6";2024-11-12;PM25;
"7";2024-11-12;NO2;87
"7";2024-11-12;O3;42
"7";2024-11-12;PM10;
"2";2024-11-11;C6H6;2.4
"2";2024-11-11;NO2;45
"2";2024-11-11;O3;26
"2";2024-11-11;PM10;46
"2";2024-11-11;PM25;34
"2";2024-11-11;SO2;6
"3";2024-11-11;NO2;55
"4";2024-11-11;C6H6;1.9
"4";2024-11-11;CO_8h;2.4
"4";2024-11-11;NO2;75
"4";2024-11-11;PM10;69
"4";2024-11-11;PM25;50
"6";2024-11-11;C6H6;3.4
"6";2024-11-11;CO_8h;1
"6";2024-11-11;NO2;63
"6";2024-11-11;PM10;50
"6";2024-11-11;PM25;38
"7";2024-11-11;NO2;65
"7";2024-11-11;O3;17
"7";2024-11-11;PM10;
"2";2024-11-08;C6H6;2.7
"2";2024-11-08;NO2;52
"2";2024-11-08;O3;13
"2";2024-11-08;PM10;43
"2";2024-11-08;PM25;27
"2";2024-11-08;SO2;6
"3";2024-11-08;NO2;49
"4";2024-11-08;C6H6;2.6
"4";2024-11-08;CO_8h;2.4
"4";2024-11-08;NO2;66
"4";2024-11-08;PM10;77
"4";2024-11-08;PM25;51
"6";2024-11-08;C6H6;4.7
"6";2024-11-08;CO_8h;1.4
"6";2024-11-08;NO2;61
"6";2024-11-08;PM10;53
"6";2024-11-08;PM25;37
"7";2024-11-08;NO2;59
"7";2024-11-08;O3;11
"7";2024-11-08;PM10;50
"2";2024-11-07;C6H6;2.2
"2";2024-11-07;NO2;46
"2";2024-11-07;O3;16
"2";2024-11-07;PM10;41
"2";2024-11-07;PM25;27
"2";2024-11-07;SO2;6
"3";2024-11-07;NO2;50
"4";2024-11-07;C6H6;1.4
"4";2024-11-07;CO_8h;2.1
"4";2024-11-07;NO2;59
"4";2024-11-07;PM10;45
"4";2024-11-07;PM25;34
"6";2024-11-07;C6H6;3.3
"6";2024-11-07;CO_8h;1.2
"6";2024-11-07;NO2;59
"6";2024-11-07;PM10;39
"6";2024-11-07;PM25;28
"7";2024-11-07;NO2;65
"7";2024-11-07;O3;14
"7";2024-11-07;PM10;39
"2";2024-11-06;C6H6;2.1
"2";2024-11-06;NO2;50
"2";2024-11-06;O3;19
"2";2024-11-06;PM10;37
"2";2024-11-06;PM25;23
"2";2024-11-06;SO2;5
"3";2024-11-06;NO2;52
"4";2024-11-06;C6H6;1
"4";2024-11-06;CO_8h;1.2
"4";2024-11-06;NO2;47
"4";2024-11-06;PM10;43
"4";2024-11-06;PM25;30
"6";2024-11-06;C6H6;2.9
"6";2024-11-06;CO_8h;0.8
"6";2024-11-06;NO2;55
"6";2024-11-06;PM10;41
"6";2024-11-06;PM25;27
"7";2024-11-06;NO2;55
"7";2024-11-06;O3;17
"7";2024-11-06;PM10;36
"2";2024-11-05;C6H6;2.2
"2";2024-11-05;NO2;46
"2";2024-11-05;O3;15
"2";2024-11-05;PM10;43
"2";2024-11-05;PM25;25
"2";2024-11-05;SO2;6
"3";2024-11-05;NO2;46
"4";2024-11-05;C6H6;1
"4";2024-11-05;CO_8h;1.5
"4";2024-11-05;NO2;45
"4";2024-11-05;PM10;49
"4";2024-11-05;PM25;32
"6";2024-11-05;C6H6;2.9
"6";2024-11-05;CO_8h;0.7
"6";2024-11-05;NO2;51
"6";2024-11-05;PM10;42
"6";2024-11-05;PM25;30
"7";2024-11-05;NO2;51
"7";2024-11-05;O3;14
"7";2024-11-05;PM10;41
"2";2024-11-04;C6H6;1.5
"2";2024-11-04;NO2;47
"2";2024-11-04;O3;51
"2";2024-11-04;PM10;30
"2";2024-11-04;PM25;19
"2";2024-11-04;SO2;5
"3";2024-11-04;NO2;68
"4";2024-11-04;C6H6;1.2
"4";2024-11-04;CO_8h;2
"4";2024-11-04;NO2;58
"4";2024-11-04;PM10;41
"4";2024-11-04;PM25;26
"6";2024-11-04;C6H6;1.9
"6";2024-11-04;CO_8h;1.2
