stazione_id;data;inquinante;valore
"6";2024-11-04;NO2;52
"6";2024-11-04;PM10;30
"6";2024-11-04;PM25;23
"7";2024-11-04;NO2;63
"7";2024-11-04;O3;44
"7";2024-11-04;PM10;30
"2";2024-10-31;C6H6;2.4
"2";2024-10-31;NO2;51
"2";2024-10-31;O3;37
"2";2024-10-31;PM10;38
"2";2024-10-31;PM25;21
"2";2024-10-31;SO2;7
"3";2024-10-31;NO2;70
"4";2024-10-31;C6H6;1.5
"4";2024-10-31;CO_8h;1.7
"4";2024-10-31;NO2;58
"4";2024-10-31;PM10;49
"4";2024-10-31;PM25;27
"6";2024-10-31;C6H6;3.3
"6";2024-10-31;CO_8h;0.8
"6";2024-10-31;NO2;60
"6";2024-10-31;PM10;39
"6";2024-10-31;PM25;24
"7";2024-10-31;NO2;62
"7";2024-10-31;O3;38
"7";2024-10-31;PM10;35
"2";2024-10-30;C6H6;2.6
"2";2024-10-30;NO2;68
"2";2024-10-30;O3;40
"2";2024-10-30;PM10;33
"2";2024-10-30;PM25;18
"2";2024-10-30;SO2;6
"3";2024-10-30;NO2;64
"4";2024-10-30;C6H6;1.5
"4";2024-10-30;CO_8h;1.9
"4";2024-10-30;NO2;54
"4";2024-10-30;PM10;43
"4";2024-10-30;PM25;24
"6";2024-10-30;C6H6;3.7
"6";2024-10-30;CO_8h;0.9
"6";2024-10-30;NO2;58
"6";2024-10-30;PM10;
"6";2024-10-30;PM25;
"7";2024-10-30;NO2;62
"7";2024-10-30;O3;33
"7";2024-10-30;PM10;30
"2";2024-10-29;C6H6;2.2
"2";2024-10-29;NO2;48
"2";2024-10-29;O3;32
"2";2024-10-29;PM10;32
"2";2024-10-29;PM25;17
"2";2024-10-29;SO2;8
"3";2024-10-29;NO2;65
"4";2024-10-29;C6H6;1.5
"4";2024-10-29;CO_8h;1.8
"4";2024-10-29;NO2;66
"4";2024-10-29;PM10;38
"4";2024-10-29;PM25;21
"6";2024-10-29;C6H6;2.8
"6";2024-10-29;CO_8h;0.8
"6";2024-10-29;NO2;54
"6";2024-10-29;PM10;20
"6";2024-10-29;PM25;17
"7";2024-10-29;NO2;64
"7";2024-10-29;O3;31
"7";2024-10-29;PM10;29
"2";2024-10-28;C6H6;1.1
"2";2024-10-28;NO2;40
"2";2024-10-28;O3;47
"2";2024-10-28;PM10;25
"2";2024-10-28;PM25;12
"2";2024-10-28;SO2;2.5
"3";2024-10-28;NO2;52
"4";2024-10-28;C6H6;0.5
"4";2024-10-28;CO_8h;1.4
"4";2024-10-28;NO2;51
"4";2024-10-28;PM10;35
"4";2024-10-28;PM25;17
"6";2024-10-28;C6H6;1.3
"6";2024-10-28;CO_8h;0.7
"6";2024-10-28;NO2;48
"6";2024-10-28;PM10;22
"6";2024-10-28;PM25;13
"7";2024-10-28;NO2;59
"7";2024-10-28;O3;47
"7";2024-10-28;PM10;20
"2";2024-10-25;C6H6;0.5
"2";2024-10-25;NO2;20
"2";2024-10-25;O3;45
"2";2024-10-25;PM10;14
"2";2024-10-25;PM25;10
"2";2024-10-25;SO2;2.5
"3";2024-10-25;NO2;31
"4";2024-10-25;C6H6;0.5
"4";2024-10-25;CO_8h;0.9
"4";2024-10-25;NO2;44
"4";2024-10-25;PM10;20
"4";2024-10-25;PM25;14
"6";2024-10-25;C6H6;1
"6";2024-10-25;CO_8h;0.25
"6";2024-10-25;NO2;35
"6";2024-10-25;PM10;
"6";2024-10-25;PM25;10
"7";2024-10-25;NO2;38
"7";2024-10-25;O3;46
"7";2024-10-25;PM10;
"2";2024-10-24;C6H6;1.6
"2";2024-10-24;NO2;43
"2";2024-10-24;O3;38
"2";2024-10-24;PM10;35
"2";2024-10-24;PM25;21
"2";2024-10-24;SO2;5
"3";2024-10-24;NO2;57
"4";2024-10-24;C6H6;1.3
"4";2024-10-24;CO_8h;1.4
"4";2024-10-24;NO2;45
"4";2024-10-24;PM10;67
"4";2024-10-24;PM25;35
"6";2024-10-24;C6H6;2.3
"6";2024-10-24;CO_8h;0.6
"6";2024-10-24;NO2;58
"6";2024-10-24;PM10;23
"6";2024-10-24;PM25;24
"7";2024-10-24;NO2;57
"7";2024-10-24;O3;40
"7";2024-10-24;PM10;40
"2";2024-10-23;C6H6;1.5
"2";2024-10-23;NO2;50
"2";2024-10-23;O3;65
"2";2024-10-23;PM10;40
"2";2024-10-23;PM25;21
"2";2024-10-23;SO2;5
"3";2024-10-23;NO2;83
"4";2024-10-23;C6H6;1.4
"4";2024-10-23;CO_8h;1.4
"4";2024-10-23;NO2;78
"4";2024-10-23;PM10;60
"4";2024-10-23;PM25;30
"6";2024-10-23;C6H6;2.5
"6";2024-10-23;CO_8h;0.7
"6";2024-10-23;NO2;66
"6";2024-10-23;PM10;44
"6";2024-10-23;PM25;23
"7";2024-10-23;NO2;68
"7";2024-10-23;O3;64
"7";2024-10-23;PM10;
"2";2024-10-22;C6H6;1.3
"2";2024-10-22;NO2;43
"2";2024-10-22;O3;66
"2";2024-10-22;PM10;27
"2";2024-10-22;PM25;13
"2";2024-10-22;SO2;2.5
"3";2024-10-22;NO2;55
"4";2024-10-22;C6H6;1
"4";2024-10-22;CO_8h;1.6
"4";2024-10-22;NO2;57
"4";2024-10-22;PM10;37
"4";2024-10-22;PM25;16
"6";2024-10-22;C6H6;1.9
"6";2024-10-22;CO_8h;0.8
"6";2024-10-22;NO2;45
"6";2024-10-22;PM10;18
"6";2024-10-22;PM25;16
"7";2024-10-22;NO2;55
"7";2024-10-22;O3;67
"7";2024-10-22;PM10;
"2";2024-10-21;C6H6;0.5
"2";2024-10-21;NO2;37
"2";2024-10-21;O3;53
"2";2024-10-21;PM10;18
"2";2024-10-21;PM25;8
"2";2024-10-21;SO2;2.5
"3";2024-10-21;NO2;59
"4";2024-10-21;C6H6;0.5
"4";2024-10-21;CO_8h;1.5
"4";2024-10-21;NO2;52
"4";2024-10-21;PM10;19
"4";2024-10-21;PM25;9
"6";2024-10-21;C6H6;1.6
"6";2024-10-21;CO_8h;0.7
"6";2024-10-21;NO2;55
"6";2024-10-21;PM10;11
"6";2024-10-21;PM25;12
"7";2024-10-21;NO2;64
"7";2024-10-21;O3;46
"7";2024-10-21;PM10;9
"2";2024-10-18;C6H6;0.5
"2";2024-10-18;NO2;24
"2";2024-10-18;O3;41
"2";2024-10-18;PM10;10
"2";2024-10-18;PM25;6
"2";2024-10-18;SO2;2.5
"3";2024-10-18;NO2;52
"4";2024-10-18;C6H6;0.5
"4";2024-10-18;CO_8h;0.8
"4";2024-10-18;NO2;45
"4";2024-10-18;PM10;17
"4";2024-10-18;PM25;10
"6";2024-10-18;C6H6;1
"6";2024-10-18;CO_8h;0.25
"6";2024-10-18;NO2;40
"6";2024-10-18;PM10;5
"6";2024-10-18;PM25;
"7";2024-10-18;NO2;42
"7";2024-10-18;O3;38
"7";2024-10-18;PM10;14
"2";2024-10-17;C6H6;0.5
"2";2024-10-17;NO2;31
"2";2024-10-17;O3;34
"2";2024-10-17;PM10;23
"2";2024-10-17;PM25;16
"2";2024-10-17;SO2;2.5
"3";2024-10-17;NO2;46
"4";2024-10-17;C6H6;0.5
"4";2024-10-17;CO_8h;0.8
"4";2024-10-17;NO2;38
"4";2024-10-17;PM10;44
"4";2024-10-17;PM25;29
"6";2024-10-17;C6H6;1.2
"6";2024-10-17;CO_8h;0.5
"6";2024-10-17;NO2;36
"6";2024-10-17;PM10;
"6";2024-10-17;PM25;
"7";2024-10-17;NO2;42
"7";2024-10-17;O3;30
"7";2024-10-17;PM10;39
"2";2024-10-16;C6H6;1.4
"2";2024-10-16;NO2;38
"2";2024-10-16;O3;41
"2";2024-10-16;PM10;34
"2";2024-10-16;PM25;20
"2";2024-10-16;SO2;7
"3";2024-10-16;NO2;50
"4";2024-10-16;C6H6;1
"4";2024-10-16;CO_8h;0.8
"4";2024-10-16;NO2;47
"4";2024-10-16;PM10;43
"4";2024-10-16;PM25;26
"6";2024-10-16;C6H6;2.7
"6";2024-10-16;CO_8h;0.5
"6";2024-10-16;NO2;44
"6";2024-10-16;PM10;25
"6";2024-10-16;PM25;21
"7";2024-10-16;NO2;48
"7";2024-10-16;O3;32
"7";2024-10-16;PM10;
"2";2024-10-15;C6H6;1.3
"2";2024-10-15;NO2;43
"2";2024-10-15;O3;16
"2";2024-10-15;PM10;29
"2";2024-10-15;PM25;16
"2";2024-10-15;SO2;2.5
"3";2024-10-15;NO2;49
"4";2024-10-15;C6H6;0.5
"4";2024-10-15;CO_8h;0.7
"4";2024-10-15;NO2;49
"4";2024-10-15;PM10;36
"4";2024-10-15;PM25;20
"6";2024-10-15;C6H6;2
"6";2024-10-15;CO_8h;0.6
"6";2024-10-15;NO2;53
"6";2024-10-15;PM10;25
"6";2024-10-15;PM25;21
"7";2024-10-15;NO2;51
"7";2024-10-15;O3;16
"7";2024-10-15;PM10;
"2";2024-10-14;C6H6;1.1
"2";2024-10-14;NO2;40
"2";2024-10-14;O3;64
"2";2024-10-14;PM10;19
"2";2024-10-14;PM25;12
"2";2024-10-14;SO2;8
"3";2024-10-14;NO2;46
"4";2024-10-14;C6H6;0.5
"4";2024-10-14;CO_8h;0.6
"4";2024-10-14;NO2;41
"4";2024-10-14;PM10;24
"4";2024-10-14;PM25;13
"6";2024-10-14;C6H6;1.3
"6";2024-10-14;CO_8h;0.5
"6";2024-10-14;NO2;48
"6";2024-10-14;PM10;22
"6";2024-10-14;PM25;13
"7";2024-10-14;NO2;50
"7";2024-10-14;O3;58
"7";2024-10-14;PM10;
"2";2024-10-11;C6H6;0.5
"2";2024-10-11;NO2;34
"2";2024-10-11;O3;59
"2";2024-10-11;PM10;11
"2";2024-10-11;PM25;7
"2";2024-10-11;SO2;2.5
"3";2024-10-11;NO2;59
"4";2024-10-11;C6H6;0.5
"4";2024-10-11;CO_8h;1.1
"4";2024-10-11;NO2;42
"4";2024-10-11;PM10;12
"4";2024-10-11;PM25;7
"6";2024-10-11;C6H6;1.7
"6";2024-10-11;CO_8h;0.5
"6";2024-10-11;NO2;52
"6";2024-10-11;PM10;12
"6";2024-10-11;PM25;7
"7";2024-10-11;NO2;45
"7";2024-10-11;O3;56
"7";2024-10-11;PM10;
"2";2024-10-10;C6H6;1
"2";2024-10-10;NO2;27
"2";2024-10-10;O3;38
"2";2024-10-10;PM10;17
"2";2024-10-10;PM25;12
"2";2024-10-10;SO2;2.5
"3";2024-10-10;NO2;45
"4";2024-10-10;C6H6;0.5
"4";2024-10-10;CO_8h;1.2
"4";2024-10-10;NO2;40
"4";2024-10-10;PM10;28
"4";2024-10-10;PM25;16
"6";2024-10-10;C6H6;1.6
"6";2024-10-10;CO_8h;0.25
"6";2024-10-10;NO2;41
"6";2024-10-10;PM10;20
"6";2024-10-10;PM25;10
"7";2024-10-10;NO2;38
"7";2024-10-10;O3;34
"7";2024-10-10;PM10;
"2";2024-10-09;C6H6;0.5
"2";2024-10-09;NO2;19
"2";2024-10-09;O3;46
"2";2024-10-09;PM10;11
"2";2024-10-09;PM25;7
"2";2024-10-09;SO2;2.5
"3";2024-10-09;NO2;42
"4";2024-10-09;C6H6;0.5
"4";2024-10-09;CO_8h;1
"4";2024-10-09;NO2;39
"4";2024-10-09;PM10;20
"4";2024-10-09;PM25;13
"6";2024-10-09;C6H6;1.1
"6";2024-10-09;CO_8h;0.25
"6";2024-10-09;NO2;37
"6";2024-10-09;PM10;15
"6";2024-10-09;PM25;9
"7";2024-10-09;NO2;32
"7";2024-10-09;O3;40
"7";2024-10-09;PM10;0
"2";2024-10-08;C6H6;1.5
"2";2024-10-08;NO2;46
"2";2024-10-08;O3;35
"2";2024-10-08;PM10;24
"2";2024-10-08;PM25;14
"2";2024-10-08;SO2;6
"3";2024-10-08;NO2;51
"4";2024-10-08;C6H6;1
"4";2024-10-08;CO_8h;1.4
"4";2024-10-08;NO2;45
"4";2024-10-08;PM10;34
"4";2024-10-08;PM25;21
"6";2024-10-08;C6H6;2.1
"6";2024-10-08;CO_8h;0.5
"6";2024-10-08;NO2;47
"6";2024-10-08;PM10;25
"6";2024-10-08;PM25;18
"7";2024-10-08;NO2;52
"7";2024-10-08;O3;30
"7";2024-10-08;PM10;
"2";2024-10-04;C6H6;0.5
"2";2024-10-04;NO2;29
"2";2024-10-04;O3;46
"2";2024-10-04;PM10;9
"2";2024-10-04;PM25;4
"2";2024-10-04;SO2;2.5
"3";2024-10-04;NO2;47
"4";2024-10-04;C6H6;0.5
"4";2024-10-04;CO_8h;1.1
"4";2024-10-04;NO2;36
"4";2024-10-04;PM10;17
"4";2024-10-04;PM25;12
"6";2024-10-04;C6H6;0.5
"6";2024-10-04;CO_8h;0.25
"6";2024-10-04;NO2;29
"6";2024-10-04;PM10;12
"6";2024-10-04;PM25;6
"7";2024-10-04;NO2;29
"7";2024-10-04;O3;44
"7";2024-10-04;PM10;
"2";2024-10-03;C6H6;0.5
"2";2024-10-03;NO2;34
"2";2024-10-03;O3;62
"2";2024-10-03;PM10;16
"2";2024-10-03;PM25;6
"2";2024-10-03;SO2;2.5
"3";2024-10-03;NO2;59
"4";2024-10-03;C6H6;0.5
"4";2024-10-03;CO_8h;1.1
"4";2024-10-03;NO2;47
"4";2024-10-03;PM10;24
"4";2024-10-03;PM25;17
"6";2024-10-03;C6H6;1.1
"6";2024-10-03;CO_8h;0.25
"6";2024-10-03;NO2;45
"6";2024-10-03;PM10;19
"6";2024-10-03;PM25;18
"7";2024-10-03;NO2;39
"7";2024-10-03;O3;71
"7";2024-10-03;PM10;
"2";2024-10-02;C6H6;0.5
"2";2024-10-02;NO2;45
"2";2024-10-02;O3;61
"2";2024-10-02;PM10;24
"2";2024-10-02;PM25;10
"2";2024-10-02;SO2;2.5
"3";2024-10-02;NO2;61
"4";2024-10-02;C6H6;0.5
"4";2024-10-02;CO_8h;1.1
"4";2024-10-02;NO2;56
"4";2024-10-02;PM10;37
"4";2024-10-02;PM25;17
"6";2024-10-02;C6H6;1.2
"6";2024-10-02;CO_8h;0.5
"6";2024-10-02;NO2;51
"6";2024-10-02;PM10;26
"6";2024-10-02;PM25;13
"7";2024-10-02;NO2;54
"7";2024-10-02;O3;57
"7";2024-10-02;PM10;
"2";2024-10-01;C6H6;0.5
"2";2024-10-01;NO2;57
"2";2024-10-01;O3;79
"2";2024-10-01;PM10;12
"2";2024-10-01;PM25;5
"2";2024-10-01;SO2;2.5
"3";2024-10-01;NO2;46
"4";2024-10-01;C6H6;0.5
"4";2024-10-01;CO_8h;1
"4";2024-10-01;NO2;75
"4";2024-10-01;PM10;17
"4";2024-10-01;PM25;5
"6";2024-10-01;C6H6;0.5
"6";2024-10-01;CO_8h;0.25
"6";2024-10-01;NO2;49
"6";2024-10-01;PM10;14
"6";2024-10-01;PM25;6
"7";2024-10-01;NO2;36
"7";2024-10-01;O3;86
"7";2024-10-01;PM10;
"2";2024-04-30;C6H6;1.6
"2";2024-04-30;NO2;71
"2";2024-04-30;O3;92
"2";2024-04-30;PM10;27
"2";2024-04-30;PM25;9
"2";2024-04-30;SO2;2.5
"3";2024-04-30;NO2;96
"4";2024-04-30;C6H6;
"4";2024-04-30;CO_8h;1.2
"4";2024-04-30;NO2;106
"4";2024-04-30;PM10;30
"4";2024-04-30;PM25;8
"6";2024-04-30;C6H6;1.3
"6";2024-04-30;CO_8h;0.7
"6";2024-04-30;NO2;79
"6";2024-04-30;PM10;29
"6";2024-04-30;PM25;11
"7";2024-04-30;NO2;73
"7";2024-04-30;O3;110
"7";2024-04-30;PM10;28
"2";2024-04-29;C6H6;0.5
"2";2024-04-29;NO2;30
"2";2024-04-29;O3;74
"2";2024-04-29;PM10;17
"2";2024-04-29;PM25;9
"2";2024-04-29;SO2;2.5
"3";2024-04-29;NO2;49
"4";2024-04-29;C6H6;
"4";2024-04-29;CO_8h;1.1
"4";2024-04-29;NO2;47
"4";2024-04-29;PM10;21
"4";2024-04-29;PM25;8
"6";2024-04-29;C6H6;0.5
"6";2024-04-29;CO_8h;0.6
"6";2024-04-29;NO2;36
"6";2024-04-29;PM10;21
"6";2024-04-29;PM25;14
"7";2024-04-29;NO2;39
"7";2024-04-29;O3;96
"7";2024-04-29;PM10;19
"2";2024-04-24;C6H6;0.5
"2";2024-04-24;NO2;42
"2";2024-04-24;O3;61
"2";2024-04-24;PM10;7
"2";2024-04-24;PM25;4
"2";2024-04-24;SO2;2.5
"3";2024-04-24;NO2;64
"4";2024-04-24;C6H6;0
"4";2024-04-24;CO_8h;1.2
"4";2024-04-24;NO2;64
"4";2024-04-24;PM10;10
"4";2024-04-24;PM25;6
"6";2024-04-24;C6H6;0.5
"6";2024-04-24;CO_8h;0.6
"6";2024-04-24;NO2;
"6";2024-04-24;PM10;
"6";2024-04-24;PM25;
"7";2024-04-24;NO2;52
"7";2024-04-24;O3;71
"7";2024-04-24;PM10;7
"2";2024-04-23;C6H6;0.5
"2";2024-04-23;NO2;28
"2";2024-04-23;O3;64
"2";2024-04-23;PM10;3
"2";2024-04-23;PM25;2
"2";2024-04-23;SO2;2.5
"3";2024-04-23;NO2;52
"4";2024-04-23;C6H6;
"4";2024-04-23;CO_8h;0.9
"4";2024-04-23;NO2;58
"4";2024-04-23;PM10;6
"4";2024-04-23;PM25;4
"6";2024-04-23;C6H6;0.5
"6";2024-04-23;CO_8h;0.5
"6";2024-04-23;NO2;
"6";2024-04-23;PM10;6
"6";2024-04-23;PM25;
"7";2024-04-23;NO2;35
"7";2024-04-23;O3;82
"7";2024-04-23;PM10;5
"2";2024-04-22;C6H6;0.5
"2";2024-04-22;NO2;40
"2";2024-04-22;O3;83
"2";2024-04-22;PM10;7
"2";2024-04-22;PM25;3
"2";2024-04-22;SO2;2.5
"3";2024-04-22;NO2;55
"4";2024-04-22;C6H6;
"4";2024-04-22;CO_8h;0.9
"4";2024-04-22;NO2;58
"4";2024-04-22;PM10;10
"4";2024-04-22;PM25;4
"6";2024-04-22;C6H6;
"6";2024-04-22;CO_8h;
"6";2024-04-22;NO2;
"6";2024-04-22;PM10;
"6";2024-04-22;PM25;
"7";2024-04-22;NO2;35
"7";2024-04-22;O3;98
"7";2024-04-22;PM10;8
"2";2024-04-19;C6H6;0.5
"2";2024-04-19;NO2;46
"2";2024-04-19;O3;79
"2";2024-04-19;PM10;14
"2";2024-04-19;PM25;5
"2";2024-04-19;SO2;6
"3";2024-04-19;NO2;62
"4";2024-04-19;C6H6;1.2
"4";2024-04-19;CO_8h;0.9
"4";2024-04-19;NO2;71
"4";2024-04-19;PM10;18
"4";2024-04-19;PM25;6
"6";2024-04-19;C6H6;
"6";2024-04-19;CO_8h;
"6";2024-04-19;NO2;
"6";2024-04-19;PM10;
"6";2024-04-19;PM25;
"7";2024-04-19;NO2;51
"7";2024-04-19;O3;92
"7";2024-04-19;PM10;16
"2";2024-04-18;C6H6;0.5
"2";2024-04-18;NO2;28
"2";2024-04-18;O3;83
"2";2024-04-18;PM10;12
"2";2024-04-18;PM25;4
"2";2024-04-18;SO2;2.5
"3";2024-04-18;NO2;47
"4";2024-04-18;C6H6;0.5
"4";2024-04-18;CO_8h;0.8
"4";2024-04-18;NO2;53
"4";2024-04-18;PM10;18
"4";2024-04-18;PM25;5
"6";2024-04-18;C6H6;0.5
"6";2024-04-18;CO_8h;0.5
"6";2024-04-18;NO2;
"6";2024-04-18;PM10;18
"6";2024-04-18;PM25;12
"7";2024-04-18;NO2;33
"7";2024-04-18;O3;91
"7";2024-04-18;PM10;14
"2";2024-04-17;C6H6;0.5
"2";2024-04-17;NO2;39
"2";2024-04-17;O3;107
"2";2024-04-17;PM10;25
"2";2024-04-17;PM25;10
"2";2024-04-17;SO2;2.5
"3";2024-04-17;NO2;55
"4";2024-04-17;C6H6;0.5
"4";2024-04-17;CO_8h;0.8
"4";2024-04-17;NO2;57
"4";2024-04-17;PM10;24
"4";2024-04-17;PM25;8
"6";2024-04-17;C6H6;0.5
"6";2024-04-17;CO_8h;0.5
"6";2024-04-17;NO2;
"6";2024-04-17;PM10;23
"6";2024-04-17;PM25;13
"7";2024-04-17;NO2;39
"7";2024-04-17;O3;104
"7";2024-04-17;PM10;19
"2";2024-04-16;C6H6;0.5
"2";2024-04-16;NO2;25
"2";2024-04-16;O3;97
"2";2024-04-16;PM10;23
"2";2024-04-16;PM25;10
"2";2024-04-16;SO2;5
"3";2024-04-16;NO2;89
"4";2024-04-16;C6H6;0.5
"4";2024-04-16;CO_8h;0.8
"4";2024-04-16;NO2;79
"4";2024-04-16;PM10;29
"4";2024-04-16;PM25;10
"6";2024-04-16;C6H6;0.5
"6";2024-04-16;CO_8h;0.5
"6";2024-04-16;NO2;
"6";2024-04-16;PM10;23
"6";2024-04-16;PM25;15
"7";2024-04-16;NO2;36
"7";2024-04-16;O3;114
"7";2024-04-16;PM10;22
"2";2024-04-15;C6H6;1.6
"2";2024-04-15;NO2;74
"2";2024-04-15;O3;121
"2";2024-04-15;PM10;34
"2";2024-04-15;PM25;17
"2";2024-04-15;SO2;9
"3";2024-04-15;NO2;91
"4";2024-04-15;C6H6;1.5
"4";2024-04-15;CO_8h;1.7
"4";2024-04-15;NO2;90
"4";2024-04-15;PM10;38
"4";2024-04-15;PM25;20
"6";2024-04-15;C6H6;2
"6";2024-04-15;CO_8h;1.2
"6";2024-04-15;NO2;
"6";2024-04-15;PM10;41
"6";2024-04-15;PM25;29
"7";2024-04-15;NO2;106
"7";2024-04-15;O3;132
"7";2024-04-15;PM10;36
"2";2024-04-12;C6H6;0.5
"2";2024-04-12;NO2;53
"2";2024-04-12;O3;
"2";2024-04-12;PM10;18
"2";2024-04-12;PM25;8
"2";2024-04-12;SO2;2.5
"3";2024-04-12;NO2;82
"4";2024-04-12;C6H6;1.2
"4";2024-04-12;CO_8h;1
"4";2024-04-12;NO2;76
"4";2024-04-12;PM10;18
"4";2024-04-12;PM25;6
"6";2024-04-12;C6H6;1.3
"6";2024-04-12;CO_8h;0.7
"6";2024-04-12;NO2;43
"6";2024-04-12;PM10;24
"6";2024-04-12;PM25;13
"7";2024-04-12;NO2;74
"7";2024-04-12;O3;94
"7";2024-04-12;PM10;18
"2";2024-04-10;C6H6;0.5
"2";2024-04-10;NO2;34
"2";2024-04-10;O3;71
"2";2024-04-10;PM10;34
"2";2024-04-10;PM25;20
"2";2024-04-10;SO2;2.5
"3";2024-04-10;NO2;64
"4";2024-04-10;C6H6;1.2
"4";2024-04-10;CO_8h;1
"4";2024-04-10;NO2;71
"4";2024-04-10;PM10;47
"4";2024-04-10;PM25;26
"6";2024-04-10;C6H6;1.2
"6";2024-04-10;CO_8h;0.6
"6";2024-04-10;NO2;47
"6";2024-04-10;PM10;34
"6";2024-04-10;PM25;24
"7";2024-04-10;NO2;53
"7";2024-04-10;O3;83
"7";2024-04-10;PM10;30
"2";2024-04-09;C6H6;1.3
"2";2024-04-09;NO2;68
"2";2024-04-09;O3;106
"2";2024-04-09;PM10;37
"2";2024-04-09;PM25;20
"2";2024-04-09;SO2;5
"3";2024-04-09;NO2;75
"4";2024-04-09;C6H6;2.1
"4";2024-04-09;CO_8h;1.6
"4";2024-04-09;NO2;77
"4";2024-04-09;PM10;47
